user,restoran,text,pesanan,harga,lokasi,kategori,rating
Novita,150 Coffee and Garden,"Tempatnya ex pabrik gitu si jadi lumayan luas dan banyak pilihan spot, kalau g hujan tersedia juga bean bag di outdoor area-nya yang lapang, ambience-nya pun adem dan cozy buat nongki.Nyobain salah satu main course rekomendasi mereka yang Grilled Oxtail Maranggi (58K), porsiannya lengkap, ada nasi, veggies, melinjo cracker, sambal maranggi dan grilled oxtail topping salad, tekstur dagingnya empuk dan gampang di potong, aroma dan rasa grill-annya juga juicy, suka juga sama sambalnya yang pedasnya berasa.Croissant pilih yang Red Velvet (35K), tampilannya cantik, merah menyala dengan topping crumble red velvet-nya, g begitu ngembang, tapi teksturnya flaky pas, filling cream-nya juga creamy dan melted banget, hint rasa red velvet-nya pun ngena.Minuman mocktail pilih yang Mango Squash (28K), yang ini g ada tambahan soda jadi g ada sensasi menggigitnya, hint mangganya sendiri ada tapi lebih dominan di asam dan manis, rasanya juga lebih ke syrup si bukan buah asli jadi manisnya lekoh.","Red velvet croissant, Grilled Oxtail Maranggi, mango squash"," Rp. 50.000 - Rp. 100.000


",Antapani,Kafe,4.2
Novita,Mie Gacoan,"Siang-siang pengen yang pedes jadi ojol mie gacoan, dateng lumayan cepet padahal di jam-jam rawan antri, fresh juga jadi masih panas. Pilih Mie Gacoan Level 1 dan 3, mie-nya lembut dengan hint rasa manis yang pas, panas pedes cabainya juga nendang berasa, kali ini lumpianya juga lumayan gede si, isiannya g pelit dan empuk crunchy.","Red velvet croissant, Grilled Oxtail Maranggi, mango squash"," < Rp. 50.000


",Dipatiukur,Indonesia,4.0
Novita,Sinamon,"Posisinya sebelah Taman Pramuka, ex-nya Hailee Coffee. Tempatnya ada indoor dan semi outdoor area, kecil tapi cozy juga buat nongki-nongki, interior dan exteriornya juga cantik dan girly abis.Pilih nyoba Box Of 2 Rolls (70K), dengan rasa Berrytella dan Cream Cheezin’, tampilannya cantik dan mouth watering banget, porsiannya lumayan padet gede, dengan adonan rolls-nya yang lembut dan manis pas. Dari topping nutella dan cream cheese-nya sendiri super lembut dan melted banget, g giung jadi cocok di lidah.Karena dateng pas opening juga jadi dapet free Box Of 1 Roll (35K) yang OG, signature cinnamon roll yang rasa dan aroma cinnamonnya berasa banget, worth to try!","Berrytella, OG, cream cheezin'"," Rp. 50.000 - Rp. 100.000


",Riau,Kafe,4.0
Novita,Drink 217,"Mampir abis olga pagi, jadi masih agak lowong. Tempatnya adem juga si buat nongki, area outdoor pun banyak pepohonan jadi g panas-panas banget walaupun siang.Kali ini nyobain mocktail yang Blue Lagoon (26K), perpaduan soda, lemon dan curacao syrup, warnanya cantik si, ngejreng bening dengan buih soda yang seger, rasanya juga fresh dengan asemnya lemon yang berasa.Kalau yang Charcoal Latte (28K)-nya pilih yang dingin, perpaduan charcoal dan susu, karena based-nya susu jadi rasanya lebih milky, creamy juga dengan rasa manis yang pas.","Blue Lagoon, Charcoal Latte"," < Rp. 50.000


",Dipatiukur,Kafe,4.0
Novita,Ayam Geprek Pedas Puri,"Salah satu tenant di 217 Area, tempatnya paling pojok deket mushola dan toilet. Dari menunya sendiri g banyak, tapi ada pilihan ala carte atau paketan.Pilih nyobain Paket Ayam Geprek Komplit (34K) dengan tambahan Pedas Pelakor (2K), sudah termasuk nasi, ayam geprek, tahu, tempe, telor ceplok dan timun, porsiannya ngenyangin banget, ayamnya juga lumayan banyak dan dominan daging, pedasnya kurang nandang si untuk seleraku, tapi masih yang ngena pedas cabainya.",Paket Ayam Geprek Komplit," < Rp. 50.000


",Dipatiukur,Indonesia,3.8
Novita,Luuca,"Posisinya di sebrang Yogya Mekarwangi, sebelah banget Pho Ngon. Tempatnya sendiri kecil, hanya ada beberapa seating area, tapi ambience-nya adem buat nongki, interiornya juga fancy banget di dominasi warna black dan gold.Disini ada varian rasa chocolate, matcha, strawberry dan yogurt dengan beberapa pilihan topping. Harganya bervariasi sesuai topping dan ramah juga di kantong.Dari yang chocolate nyobain yang Verona Chocolate (18K), ini pakai cone yang teksturnya super renyah, dengan tambahan kacang di pinggiran, rasa soft ice creamnya sendiri rich banget si, berasa tapi g yang kemanisan jadi pas banget di lidah, sayangnya rada kopong di tengah jadi gesetinggi menjulang kaya di gambar.Untuk matcha pilih yang Meguro Matcha (32K), porsiannya lumayan banyak dengan taburan topping pop corn, cone crumble dan caramel sauce, lengkap juga dengan hard shell-nya yang kriuk cruncy, untuk rasa sendiri bittersweet khas matcha-nya ada, manisnya juga ringan pas, dengan tekstur soft ice cream-nya yang creamy dan smooth.","Meguro Matcha, Verona Chocolate"," < Rp. 50.000


",Mekar Wangi,Es Krim,4.0
Novita,Jack Howard Dining,"Posisinya sebelah Kedai Kopi OH, g jauh dari Grand Winghen. Tempatnya sendiri terdiri dari 2 lantai, g begitu luas tapi ada semi outdoor dan ruang VIP juga yang tersedia. Ambience-nya adem dan cozy buat nongki, dari pelayanannya pun ramah dan informatif.Karena lagi ujan lebat di luar jadi nyobain Honey Roasted Pumpkin Soup (27.5K), warnanya cantik dengan perpaduan orange pumpkin dan putih heavy cream, tersaji panas dengan topping crusty bread yang crunchy, tekstur soupnya kental tapi super lembut, rasanya juga gurih, creamy dan lebih ringan manisnya, hint rasa labu-nya juga ada banget, cocok buat warm up.Dessert pilih rekomendasinya yang Oops! I Dropped My Chocolate Plant (38K), plating-nya eye catching banget sesuai namanya, ada garnish dengan berbagai macam edible flowers, di dalam chocolate coating-nya sendiri ada lapisan chocolate powder dan cream yang lembut dan melted, di tutup dengan berbagai macam topping jelly, strawberry dan crisan flower, disajikan lengkap dengan butterscotch sauce, unik dan kaya rasa.Minumannya ada Pinamolly (29K), mocktail perpaduan pineapple, lychee, lemon juice dan soda, rasanya seger banget, manisnya ada, tapi lebih dominan di aroma dan rasa asemnya nanas muda yang sepat dan berserat, ada potongan buahnya juga jadi lebih fresh dan bikin nagih.","Oops! I Dropped My Chocolate Plant, Honey Roasted Pumpkin Soup, Pinamolly"," Rp. 50.000 - Rp. 100.000


",Mekar Wangi,Barat,4.0
Novita,Christael Art Coffee,"Karena lagi kulineran di area sini, jadi mampir lagi manfaatin kupon perkul. Ambience tempatnya adem banget si buat nongki-nongki, cozy dan betah buat lama-lama. Banyak pilihan spot, pelayananya juga ramah dan informatif.Kali ini pilih nyoba yang Spaghetti Aglio Olio (38K), aroma dan tampilannya menggugah selera banget dengan baked schrimp-nya yang empuk menggoda, tekstur spaghetti-nya sendiri al dente pas, g terkesan oily juga, perpaduan rasa bawang putih dan chilli oil-nya pun ngena, dengan hint rasa pedas dan salty yang berasa.Cemilan Tahu Cabe Garam (15K) disajiin dengan irisan cabai dengan tahu yang dipotong kecil, ini jenis tahu susu jadi lebih empuk dan g terlalu crunchy, untuk salty dan pedasnya ada, tapi g begitu berasa karena hanya topping jadi g begitu menyeluruh, masih yang oke si.Minuman nyoba yang Fruity Nutriboost (32K), perpaduan susu, orange dan mangga, teksturnya lebih berserat, rasa manis dan asam buahnya juga lebih dominan, seger dan cocok banget buat panasnya siang bolong.","Tahu Cabe Garam, Fruity Nutriboost, Spaghetti Aglio Olio"," Rp. 50.000 - Rp. 100.000


",Mekar Wangi,Kafe,4.0
Novita,Kopi Konnichiwa,"Dateng menjelang libur panjang jadi lumayan rame juga di lantai atas, tempatnya sendiri kecil tapi cozy buat nongki, interior japanese vibesnya juga kental dengan ornamen dan kayu-kayuannya.Kali ini nyoba salah satu rekomendasi coffee yang Kyoto Latte (26K), perpaduan matcha, espresso, fresh milk dan brown sugar, rasa kopinya lebih light si bukan yang cenderung pahit, balance gitu rasa kopi susu dan brown sugar-nya, hint rasa matcha-nya pun ada walau g yang berasa banget.Yang choco pilih Royal Hazelnut ukuran large (33K), perpaduan hazelnut, dark chocolate dan fresh milk, ini pun rasanya balance pas, manis chocolate-nya g yang dominan, masih ada hint pahitnya dark choco dan gurihnya hazelnut, milky-nya juga ada banget.","Royal Hazelnut, Kyoto Latte"," < Rp. 50.000


",Pasir Kaliki,Kafe,4.0
Novita,Soto Mie Pak Kadir,"Posisinya di belakang Kasa Kopi, masuk gang di sebrangnya pintu masuk Balai Kota. Tempatnya kaya kedai kebanyakan, sederhana tapi bersih dan nyaman buat bersantap ria, dari pelayanannya pun ramah-ramah.Pilih nyoba yang Soto Mie Special (30K) dengan tambahan Nasi (5K), porsiannya lengkap banget, selain mie dan bihun, ada wortel, lobak, risol, kikil dan daging yang empuk, penuh banget satu mangkok, aromanya juga menggugah selera, kuahnya sendiri gurih dan seger, dengan citarasa khas-nya yang berasa.Gorengan udah pada sold out semua jadi nyoba risol, 2k persatuannya, kecil dan isiannya dikit tapi teksturnya garing banget jadi gurihnya dapet, dimasukin ke sisa kuah juga lebih enak, g terlalu mushy dan kriuknya masih ada.Minuman Es Jeruk (10K)-nya seger, asem perasan jeruknya berasa banget dan manis pas.","Es Jeruk, Soto mie special, Risol"," < Rp. 50.000


",Wastukencana,Indonesia,4.0
