user,restoran,text,pesanan,harga,lokasi,kategori,rating
ayu_oktariana,Belah Doeren,lagi musim duren di mana-mana banyak yang jual tapi daripads dapet yang hambar jadi beli oancake durian aja lah di belah duren udah pasti manis durennya. Krimnya juga enak ga bikin enek. Kulit pancake nya tipis lembut. Cukup mengobati kangen ke pancake duren yang aseli medan lah,Durian Pancake Original," < Rp. 50.000


",Progo,Indonesia,4.0
ayu_oktariana,Bakmi Kaka,"ke perkul fest yang di bip tengah hari laper liat bakmi langsung beli laaaah. Aku pesan mie ayam pangsit (30rb) soalnya pangsitnya keliatan menggoda lembut gitu kulitnya.Porsinya besar sih buatku dan ekspektasi aku tinggi sih liat tampilannya, tapi ternyata rasa mie nya ga jelas. Ada manis manisnya tapi bukan yamin manis dan kalo mau jadi bakmi asin juga ga gurih yang gimana gitu. Jadi rasanya ga jelas. Padahal kematangan mie nya enak yg aku suka masih ada gigitan gitu ga benyek. Terus kuah nya hambar blas ga berasa kaldu juga. Dan gong nya pangsitnya sih. Isiannya bukan pure cincang daging ayam/udang tapi kayak adonan tepung gitu dan rasa ayamnya tipis banget. Failed banget sumpah. 😭",mie ayam pangsit," < Rp. 50.000


",Arcamanik,Indonesia,2.6
ayu_oktariana,The People's Cafe,"hari minggu ke mall di bandung buat makan siang ya penuh semua cari yang agak sepi akhirnya random ke TPC. Karena TPC salah satu tempat andalan buat makan yaudah deh ke sini dan coba bakmi nya. Dan baru kali ini sih aku kecewa. Entah karena rame atau gimana, tapi sumpah banyak banget kurangnya ini bakmi. Pertama mie nya banyak yang belum mateng masih keras menggumpal gitu ga terurai. Terus kan ini yipe mir asin nah ini bener-bener asin gila kayak pengen yang beli jadi penyakitan. Padahal pangsit gorengnya enak deh huhu.",Mie Nyonya Bun," Rp. 50.000 - Rp. 100.000


",Pasir Kaliki,Kafe,3.4
ayu_oktariana,Pisang Madu Oma,udah lama banget pengen pisang goreng madu yang terkenal di jakarta tapi pas tau ada yang mirip nih di du langsung cari dong.Harga satuannya 7ribu kalo beli 6biji itu harganya 40500.Dari tampilannya sangat mirip ya dan dari segi harga juga sama.Rasanya enak tapi ga sama. Pisangnya juga kayak ga sepadet yang di jakarta itu. Kayak masih ada tepung tepungnya yang tanpa pisang. Tapi enak sih manisnya pas ga giung. Kadang punyanya bu nanik kayak giung gitu.Oiya mereka juga jual cempedak sama nangka goreng sayang lagi kosong,Pisang goreng madu," < Rp. 50.000


",Dipatiukur,Indonesia,3.6
ayu_oktariana,RM Sinar Gakong,dateng jam setengah 3 tapi penuh dan ga lama aku masuk ada yang keluar. Pegawainya cekatan beresin dan siapin meja buat tamu.Karena udah laper banget jadi ga banyak mikir deh pesen aja yang keliatannya bakal dimakan.Pertama ayam tauco (28ribu) jujur ini enak ayamnya pake paha jadi juicy terus digoreng tepung jadi crispy tapi tepungnya ga tebel. Cuma bumbu tauco nya sih kurang berasa menurutku malah lebih dominan jahe jadi kayak so so gitu. DAN dikit banget itu ayamnya ga ada deh 100gram padahal awalnya aku kira menu di sini porsinya bisa buat sharing gitu. Jadi agak shocked sama dikit dan rasanya so so ga tauco tapi enak tapi ga sesuai ekspektasi aku.Kedua nasi goreng (28ribu) jujur dengan harga yang sama kayak ayam tauco mending ini kemana-mana deh dagingnya banyak terus enak juga bumbunya biarpun warnanya cokelat tapi ini tipe nasi goreng yang gurih gitu berasa deh gakongnya.Ketiga ada fuyunghai (28ribu) jujur kaget dengan harga segitu gede banget tapi ternyata rasanya kayak bala bala tapi gede. Saos nya enak terus ada 2 saos gitu tapi aku ga yakin sama saos kuning itu rasanya apa ga bisa menerka nerka haha.Keempat krispy kale (18ribu) ya enak lah standar cuma dibanding di tempat lain ini dia bumbunya sopan ga gurih yang bikin haus gitu.Menurutku enak tapi cenderung ke biasa aja haha dan pricing nya aneh banget sumpah.,"Fuyunghai, crispy kale, nasi goreng hk, ayam tauco"," Rp. 50.000 - Rp. 100.000


",Trunojoyo,China,3.0
ayu_oktariana,Chateraise,abis makan berat tapi masih pengen nongkrong eh ternyata di chateraise paskal area duduknya mayan banyak dan enak buat ngobrol-ngobrol.Biarpun ada beberapa meja yg ada sampahnya tapi masih oke lah dan ada stop kontak buat yg mau ngecas atau wfc bisa kali hahajujur ya bikin laper mata ke sini tuh.fresh cream chocolate cake nya itu sponge cake dan fresh cream nya enak tapi giung terus tengahnya ada choco crunch gitu giung juga buatku yang suka cokelat yang cenderung pait. Tapi enak tapi giung jadi ya gitudeh. Strawberry nya menggoda kan tapi asem huhucustard pudding nya enak lembut dan caramel nya ada sensasi gosong gitu enak.Kalo fuwa fuwa roll nya ya soso cuma si cream nya ga bikin enek.Kayaknya favorit aku masih cream puff yg matcha nya deh,"fuwa fuwa roll, Fresh Cream Cake Chocolate, japanese custard pudding"," < Rp. 50.000


",Pasir Kaliki,Toko Roti dan Kue,3.4
ayu_oktariana,Tomoro Coffee,ini kedua kali aku beli tomoro. Harganya murah murah dan enak untuk harga yang murah.Aku coba hojicha latte karena sebelumnya pernah coba matcha latte nya enak.Dan yang hojicha lebih enak lagi menurutku. Mirip sama punyanya kopken tapi lebih lekoh dan manisnya sopan terus ini pake susu oat tapi murah jadi worth it banget sih,Hojicha Oat Latte," < Rp. 50.000


",Dago Bawah,Kafe,4.0
ayu_oktariana,Mom's Artisan Bakery,biarpun spesialis cinnamon roll akan buka di bandung tapi kayaknya kalo untuk di bandung masih tetep mom’s juaranya.Cinnamonnya emang ga se strong itu untuk aku yang suka cinnamon karena ketutup sama creamcheese nya. Tapi cream cheese nya enak dan berlimpah jadi termaafkan banget sih. Terus bun nya juga lembut padahal bun nya whole grain.🙆🏻‍♀️,Cinnamon Roll Cream Cheese," Rp. 50.000 - Rp. 100.000


",Progo,Kafe,3.8
ayu_oktariana,Wheels Coffee Roasters,"sampe jam 8 kurang jadi ga waiting list langsung masuk deh.Menunya banyak tapi mirip-mirip deh jadi bingung terus aku pesen pasta ini opsi aman aja biar anakku juga bisa makan bareng. Jujur aja makanannya datengnya lama bahkan cake yg cuma tinggal pindahin piring doang aja datengnya lama dan pas dateng tuh ga dikasih sendok.Akhirnya minta deh tuh sendok ke waiter nya dan ga dikasih-kasih dia malah layanin yang lain sampe harus diingetin lagi baru deh dia lari tuh.Jadi overall menurut aku service nya masih kurang banget sih. Kayak belom siap untuk dapet tamu banyak dalam satu waktu, padahal itu posisi aku pas ke sana belum terlalu rame. Nah sekarang kita review makanannya. Pasta yang aku pesan itu sausnya creamy dengan sentuhan blackpepper tapi citarasanya manis gitu agak aneh tapi ya masih acceptable buat dimakan. Mungkin emang bukan selera aku aja kali ya. Dagingnya enak juicy dan poached egg nya pas banget matengnya.Ananas verdenya ya enak seger tapi agak kemanisan.Taro cake nya enak creamnya light manisnya pas terus si cakenya enak mirip cake ketan item gitu.","ananas verde, taro cake, wheels tender"," Rp. 100.000 - Rp. 200.000



Makasih Infonya!

Kamu belum login,",Dago Bawah,Kafe,3.8
ayu_oktariana,Brother Jonn & Sons,udah lama ga makan di sini. Tadinya pengen boss of the bun tapi abis yaudah deh kembali ke menu favorit the dukes.Dari pertama coba 2017 sampe sekarang rasanya ga berubah tetep enak pattynya juicy empuk terus saus putihnya gurih dan mozzarella nya meleleh.Bener-bener favorit deh dari dulu sampe sekarang.,the dukes," Rp. 50.000 - Rp. 100.000


",Ciumbuleuit,Barat,4.4
