user,restoran,text,pesanan,harga,lokasi,kategori,rating
hendy_christianto_chandra,Dough Deli,"Pas banget kesini pas juga ada menu milkbun! Langsung pengen cobain sih. Tapi karena itu jugalah makanya jadi banyak yang beli dan lumayan agak lama ya servicenya. Mungkin kurang antisipasi menambah staf atau gimana gitu. Btw ini kunjungan pertama saya ke outlet mereka yang disini. Secara tempat ga bisa dibilang nyaman juga ya soalnya parkir agak susah, terus area indoornya terlalu kuning dan remang untuk dessert house. Donatnya sih saya emang suka dari dulu. Apalagi ada si creme brulee dan butterscotch popcorn kesukaan. Makin suka deh.","Nasi goreng Kencur, lychee tea"," Rp. 50.000 - Rp. 100.000


",Riau,Donat,3.4
hendy_christianto_chandra,Teh Poci 88,"Pilihan aman minuman di perbazaaran ya teh ga sih? Jarang failed soalnya. Tapi ini saya cobain Lemon Yakult koq berasa hambar ya? Kayak kurang concentrated gitu loh manisnya kurang, taste yakultnya kurang, bahkan lemonnya juga ga nendang? Berasa sih ini lemon yakult bukan lychee bukan stroberi tapi kayak kurang ugh aja gitu. I know you know what i mean...","Nasi goreng Kencur, lychee tea"," < Rp. 50.000


",Gatot Subroto,Minuman,3.6
hendy_christianto_chandra,Sawasdee,"Ada apa dengan Sawasdee? Biasanya saya order tuh karena udah yakin sama taste dan QCnya sawasdee, tapi kali ini quite disappointed karena waktu saya beli blue milk teanya kayak minum air keruh aja gitu. Aroma dari bunga telangnya ngga keluar, ga creamy, bahkan manis aja engga sampe minta tambah gula. Sedihnya lagi waktu minta tambah gula juga dikasinya gula diseduh air panas dadakan gitu jadi weh esnya semua leleh hampir² jadi teh anget bukan es teh...","Nasi goreng Kencur, lychee tea"," < Rp. 50.000


",Cibadak,Minuman,3.0
hendy_christianto_chandra,Cakue Sekolahan,"Jadi kangen pengen balik ke masa SD deh dimana saat itu masalah paling berat ya cuma ulangan doang. Belum kenal cinta²an belum kenal namanya stres dll. Gara² liat dan nyobain Cakue Sekolahan di Event Perkul nih jadi mellow gini. But, anyway, cakuenya enak loh! Garing dan udah ada rasanya walaupun belum dipakein saos. Tapi pas pake saos jadi lebih joss gandos lagi. Martabak telornya juga enak. Beneran mirip sama pas zaman sekolah dulu. Malahan ini versi upgrade soalnya keliatan lebih bersih dan higienis walaupun harganya ga semurah pas SD.","Nasi goreng Kencur, lychee tea"," < Rp. 50.000


",Cihampelas,Snack,3.8
hendy_christianto_chandra,Bakmi Kaka,"Nyobain Bakmi Kaka di festival Pergi Kuliner nih. Soalnya agak jarang menu makanan beratnya jadinya akhirnya saya coba mie aja deh. Order yang paling standarnya. Harganya 25 ribu udah dapet mie dengan topping ayam jamur dan kuah kaldu terpisah. Tbh ga ada yang zonk² amat dari segi bakminya cuma beneran hambar gitu loh kayak asin engga manis engga gurih juga engga. Padahal tekstur mienya oke, kuahnya juga saya suka. Amat disayangkan...","Nasi goreng Kencur, lychee tea"," < Rp. 50.000


",Arcamanik,Indonesia,3.4
hendy_christianto_chandra,Kenangan Signature,"Penasaran sama konsep kopi kenangan versi upscale ini. Dari namanya udah kebayang ya pasti lebih classy gitu. Ternyata bener sih dari segi harga emang cukup pricey, menu kopinya yang biasa terjangkau juga jadi mehong. Saya beli spaghetti bolognesenya sekitar 50 something kalo ga salah, dengan porsi yang cukup mini dan rasa so so ajalah. Ga beli & coba minumannya soalnya mau nangis kalo bandingin sama harga koken biasa.","Nasi goreng Kencur, lychee tea"," Rp. 100.000 - Rp. 200.000


",Gede Bage,Kafe,2.8
hendy_christianto_chandra,Gokana,"Jauh-jauh sampe ke Summaba ujung-ujungnya makan di Gokana lagi. Fiuh. Namanya juga bawa keluarga sih ya makannya ga pengen yang aneh mau yang pasti-pasti aja enak terjamin. Well saya pribadi sih no problem. Tadinya pengen icip yang belum ada di tempat lain tapi yaudah gapapa. Menunya Gokana sih standar ya dimana-mana sama aja ada bento, ramen, dll. Enak? Yes enak. Porsinya juga cukup besar dan bikin kenyang. 👍🏻","Nasi goreng Kencur, lychee tea"," Rp. 50.000 - Rp. 100.000


",Gede Bage,Jepang,3.8
hendy_christianto_chandra,Raa Cha,"Kalo lagi pengen comfort food sih raa cha biasanya jadi salah satu opsi pertama yang muncul soalnya keluarga emang suka banget konsep bakar celup disini. Mau yang anget² bekuah ada sukinya, mau yang smokey² bisa babakarannya. Harga ya sebenernya murah banget sih engga ya tergantung gimana milihnya mau apa aja, tapi dibilang mahal juga engga koq ada rasa ada kualitas ada harga. Paling suka kuah spicynya kalau ke raa cha. Buat dagingnya surprisingly yang varian udang enak beuddhh!","Nasi goreng Kencur, lychee tea"," Rp. 50.000 - Rp. 100.000


",Gede Bage,Thailand,3.6
hendy_christianto_chandra,Kopi Kursi Kayu,"Penasaran sama kedai kopi yang satu ini soalnya lokasinya di area guesthouse tapi public boleh enjoy. Menunya standar coffee shop zaman sekarang lah mulai dari es kopi susu, kopi susu aneka flavor, sampai menu klasik seperti cappuccino dan berbagai menu non-kopi ada. Kalau buat temen ngopinya ada cemilan dari brand sebelah yang jualan ayam. Overall taste kopinya enak sih, cocok sama selera lidah saya (mudah²an aman juga ke lambung lol). Tempatnya juga enak semi outdoor bisa melihat pemandangan jalan atau rimbunan pohon.","Nasi goreng Kencur, lychee tea"," < Rp. 50.000


",Sarijadi,Kafe,3.8
hendy_christianto_chandra,Hayam Lengkuas,"Iseng nyobain Hayam Lengkuas soalnya sering muncul promonya di medsos. Ternyata lokasinya di dalam area Guesthouse gitu. Kalo ga salah dulunya restoran italia deh disini tuh mungkin tutup terus jadi jualan ayam deh. Ayamnya sendiri ada 2 pilihan yang lengkuas (digoreng garing ada serundeng dari lengkuasnya) dan ungkep (digoreng ½ kering setelah diungkep). Teman makannya ada tahu, tempe, timun, sambal (ada sambal merah yang lebih pedas dan sambal hijau yang ga gitu pedas). Ada juga gepuk, telor garing, kol goreng, kangkung belacan, dll. Overall tastenya enak. Comfort food yang bisa dilahap setiap harinya.","Nasi goreng Kencur, lychee tea"," < Rp. 50.000


",Sarijadi,Indonesia,3.8
