user,restoran,text,pesanan,harga,lokasi,kategori,rating
henie_herliani,Ayam Cobek HQ Cihapit,"Tempatnya dipinggir jalan dan ga berubah dari dulu.Untuk pilihannya menu nya lumayan banyak , ada tempe, tahu, ayam, ampela, ati, kulit, usus, ada terong goreng dan kol goreng juga .- ayam asin : dibumbu kuning dan digoreng garing tapi dalemnya masih empuk. Gurih , enak dan meresap bumbunya.- ayam manis : bisa digoreng / dibakar , ayamnya dibumbu kecap . Bumbunya meresap , manis dan gurih.- ati ampela : ukuran nya lumayan , rasanya enak dan gurih.- kulit ayam : bumbunya berasa dan digoreng garing.- tempe : dibumbu kecap jadi warnanya coklat , rasanya juga manis dan berasa bumbunya.- nasi : porsinya sedang dan lumayan bersih.- sambelnya tipe manis , tapi masih ada rasa pedasnya walaupun sedikit.","Ayam Manis, Ayam Asin, ati ayam, kulit ayam, Tempe, Nasi"," < Rp. 50.000


",Riau,Indonesia,3.6
henie_herliani,Metodologi Coffee,"Nemu coffe shop yang lokasinya nyempil alias hidden gem. Tempatnya cozy , pelayanannya cepat dan ramah .- metodologi creamy ice : salah satu menu andalannya. Kopinya berasa tapi masih aman , creamy dan manisnya pas.- red Velvet ice : manisnya pas , red Velvet banget rasanya .Untuk harganya terjangkau dibanding coffe shop yang lain .","Metodologi creamy iced, red velvet iced"," < Rp. 50.000


",Riau,Kafe,4.0
henie_herliani,Soto Mie Pak Kadir,"Menu disini lebih komplit dibanding yang outlet Wastukencana. Tempatnya luas dan bersih , pelayanannya juga cepat dan ramah.- soto mie : ga usah diragukan lagi rasanya enak . Kuahnya gurih , porsinya mengenyangkan.Isinya ada mie , bihun , kol , tomat dan irisan daging sapi yang lembut.- risol : enak dan garing dengan isian bihun .- teh manis panas : teh nya legit dan manisnya pas.","Soto Mie, Risol, teh manis panas"," < Rp. 50.000


",Buah Batu,Indonesia,3.8
henie_herliani,Melting Moment,"Datengnya pas buka jadi ga waiting list.Tempatnya cantik , ada spot foto juga polaroid yang bisa dipakai 3x untuk 1 org .Menu andalannya bingsu , cuman sayang bingsu manggo nya ga ada karna lagi ga musim mangga .- milk bingsu : ice nya lembut , susunya disajikan terpisah , dengan topping corn flakes dan pasta kacang merah . Semua condiment menyatu dengan sempurna dan rasanya enak banget.- Basque cheesecake : ukurannya mungil tapi enak banget. Kejunya melimpah dan berasa banget .Cake nya lembut , pecinta keju wajib beli .Pengen kesini lagi buat nyoba menu yang lain.","Milk bingsu, Basque Cheesecake"," Rp. 50.000 - Rp. 100.000


",Dipatiukur,Kafe,3.8
henie_herliani,Golden Lamian,"Kesini lagi karna lagi promo paket ber 3 .Pas Dateng tempatnya penuh , tapi nunggunya ga lama. - lamian ayam panggang : kuahnya disajikan terpisah, rasanya dominan jahe . Mie nya kenyal , porsinya mengenyangkan. Ayam panggang nya enak , empuk dan berasa bumbunya.- lamian kecap ayam jamur : ayam jamur nya enak , empuk dan potongan nya besar². Mie nya kenyal , kuahnya terpisah .- spicy soup cheese : kuahnya keju banget, tapi pedesnya masih kurang . Mie nya kenyal , porsinya banyak dan mengenyangkan. Menu favorit","lamian ayam panggang, lamian kecap ayam jamur, Spicy soup Cheese"," Rp. 50.000 - Rp. 100.000


",Pasir Kaliki,China,3.6
henie_herliani,Lomie 88 Bakmie,"Salah satu Lomie dibandung yang banyak pembelinya. Tempatnya dipinggir jalan jadi gampang dicari.- Lomie : mie nya tipe lebar dan lembut .Pangsit nya empuk , basonya enak dan ada topping dorokdok. Kuahnya enak dan berasa bumbunya.",Lomie," < Rp. 50.000


",Citarum,Indonesia,3.6
henie_herliani,Jabarano Coffee,"Waiting list , tapi cepet juga . Tempatnya ada indoor dan outdoor.Menu nya komplit , ada makanan berat , minuman dan cemilan.Duduk di indoor nya betah banget , luas dan nyaman.- mini double choco cookies : ukurannya mungil tapi rasanya jumbo. Enak banget , empuk dan coklatnya melimpah dan ga giung .- ice kopi susu surili : menu andalannya disini . Kopinya berasa banget , creamy dan manisnya pas .Ukuran gelasnya lumayan besar.- la Bacca - berry cream milk : rasanya enak, seger dan manisnya pas.Ada potongan buah berry nya juga . Ukuran gelasnya lumayan besar.","Ice kopi susu surili, la bacca - berry cream milk, mini double choco cookies"," Rp. 50.000 - Rp. 100.000


",Braga,Kafe,3.8
henie_herliani,Sour Spoon,"Froyo baru diantapani dan lagi promo beli 2 gratis 1.Froyonya asem seger dan enak banget rasanya Akhirnya nyoba beberapa menu : - green matcha : Froyo dengan topping matcha , perpaduannya pas . Matcha berasa dan enak .- crispy berry jam : seger banget Froyo dengan selai strawberry dan topping oat. - choco lava : salah satu menu andalan nya , segernya Froyo ditambah topping coklat yang melimpah. Jadi seger manis rasanya.","Green Matcha, crispy berry jam, choco lava"," < Rp. 50.000


",Antapani,Yoghurt,3.6
henie_herliani,XIYUE,"Lagi maen di mall terus dikasih voucher 30 % . Langsung aja dipake jajan.- lemonade : lemonnya seger banget . Manisnya pas - Xi Yue galaxy twist sundae : dengan topping marshmellow. Es krimnya ada 2 rasa , yang original dan taro . Yang original nya enak , yang taro nya juga khas banget rasanya.","Lemonade, xi yue galaxy twist sundae with topping marshmellow"," < Rp. 50.000


","[ Sukajadi, Es Krim,Minuman ]",,4.0
henie_herliani,Third Space,"Udah sering kesini dan ga pernah bosen .Kali ini nyoba menu barunya .- yamien mala : buat yang suka pedas wajib coba menu baru ini . Rasanya emang bener² pedas dan gurih . Kuahnya juga gurih , pangsitnya enak , isiannya banyak . - nasi goreng original : akhirnya kebagian juga , soalnya sering banget abis. Nasi goreng tipe manis , ada topping telur mata sapi dan  kerupuk . Rasanya enak dan  bumbunya berasa .- kopi susu milky : minuman andalan disini dan memang seenak itu .- jus alpukat : alpukat nya berasa , cuman kurang lekoh dan kurang manis .- kit Kat crunchy : the best banget pokoknya wajib dicoba .","Yamien mala, nasi goreng original, Kopi susu milky, Jus Alpukat, kitkat crunchy"," < Rp. 50.000


",Ahmad Yani,Kafe,4.0
