user,restoran,text,pesanan,harga,lokasi,kategori,rating
simon71,Hallaa,"Nemu Cafe deket rumah aku banget guys namanya Hallaa Cafe, dan hari ini juga baru kaya soft opening jadinya sekalian mampir aja buat nyobain kopinya. Yaps tema warna cafe ini sih menonjol di warna terracotta gitu guys, eye catching banget sih pas masuk langsung kelihatan bar yang cukup besar dan pas keliling tempatnya juga spacious banget dan tertata rapih semua.Yang aku pesan disini menu Hot Cappuccino nya guys, dan secara rasa aku suka jenis beans dia karena gak flat di pahit aja, namun aftertaste nut choco dari espresso terasa dan campuran dengan latte + foamnya juga pas.Untuk makanannya aku pesan Nasi Goreng Saikoro, asli ini worth it banget sih guys, rasa dari nasi gorengnya rempah + saikoronya juga empuk juicy dan berbumbu, dan campuran dengan telur dadar dll nya pass dengan presentasi yang cantik.Pelayanan Oke sih baristanya helpful + Ambience nya Clean & Cozy.","Hot Cappuccino, Nasi Goreng Saikoro"," < Rp. 50.000



Makasih Infonya!

Kamu belum login,",Buah Batu,Kafe,4.0
simon71,Soto Mie Pak Kadir,"Balik lagi ke Soto Pak Kadir buat makan malam dikala hari hujan gini. Yapss tentu soto mie menjadi pilihan yang tepat karena berkuah panas2 gitu lumayan menghangatkan badan. Overall rasanya masih enak kaya biasanya, dan untuk cabang Buah Batu dapat potongan kikil gitu jadi lebih lengkap aja sih ngerasanya daripada yang di Wastukencana.",Soto mie special," < Rp. 50.000



Makasih Infonya!

Kamu belum login,",Buah Batu,Indonesia,4.0
simon71,Hong Sin Restaurant,"Malam Minggu gini nyobain makan Bubur Hong Sin nih guys, aku take away Bubur Ikannya. Secara packaging sih cukup rapih ya tiap campuran dipisah satu2 jadi ga benyek pas mau dimakan.Isian buburnya ada cakwe, bawang daun, sayur yang agak asin lupa namanya, dan topping ikan. Untuk tekstur ikan lembur dan fresh juga, dan overall dimakan bersama campuran lainnya balance menurutku. Gak lupa juga buat tekstur buburnya buat aku sudah pas dan tidak hambar.",Bubur Ikan," < Rp. 50.000



Makasih Infonya!

Kamu belum login,",Banceuy,China,3.6
simon71,A Place In Between,"Mampir ke APIB lagi guys, dan kali ini balik pengen cobain signature coffee nya si White Samantha. Yapss untuk rasa kopi nya sih aku minta less sugar, dan cukup enak buat aku pribadi gak terlalu manis dan creamy nya juga dapet.Pelayanan Oke & Ambience nya juga Cozy sekarang, sepertinya ada renovasi dari tahun2 sebelumnya si Indoor Area jadi ada AC dan jauh lebih rapih.",White Samantha," < Rp. 50.000



Makasih Infonya!

Kamu belum login,",Burangrang,Kafe,4.0
simon71,Paragraph Coffee & Eatery,"Mampir ke Paragraph Coffee lagi buat neduh dari hujan guys, dan aku pesan makanan & minumannya antara lain :- Nasi Goreng Ayam Bakso -> secara porsian nasi banyak banget sih guys, kalau gak lapar2 banget bisa untuk berdua. Isiannya ada potongan ayam bakso dengan telur mata sapi setengah matang. Jenis nasi goreng by default berwarna cokelat gelap jadi dominan ke rasa manis nasi gorengnya.- Es Kopi Susu Gula Aren -> paduan creamy coffee yang tetep menonjol citarasa espresso nya !!! campuran dengan latte + krimer nya juga pas dengan request gula aren 5ML.Pelayanannya Baik & Ambience nya Cozy (aku di indoor area)","Nasi Goreng Ayam Bakso, es kopi susu gula aren"," < Rp. 50.000



Makasih Infonya!

Kamu belum login,",Riau,Kafe,4.2
simon71,Santap Sorai,"Mampir ke tenant bazaarnya Santap Sorai nih guys, dan aku cobain varian Tongkol Suir dia. Yaps secara condiment sih pastinya ada tongkol suwir, daun singkong, dan keripik kentang mustofa. Overall campurannya enak sih terutama si tongkol suwir karena bumbunya meresap gitu kaya pakai bumbu kuning & daun singkong tumbuknya juga enak.Pelayanan Lumayan & Ambience nya Bazaar Vibes",Nasi Tongkol Suwir," < Rp. 50.000



Makasih Infonya!

Kamu belum login,",Sukajadi,Indonesia,3.6
simon71,Agatha Koffie,"Cobain Kopi Susunya Agatha di Bazaar Culinary guys, aku pesan Es Kopi Susunya dengan request gula 5ML. Overall rasanya typical kopi susu creamy gitu sih lumayan enak walau emang espresso nya itu kayanya udah jadi deh jadi gak bikin langsung (mungkin karena emang lagi dibazaar). But, so far so good rasanya sih✨",Es kopi susu," < Rp. 50.000



Makasih Infonya!

Kamu belum login,",Sumatera,Kafe,3.8
simon71,Daun Padi,"Mampir ke tempat makan baru di Buah Batu guys namanya Daun Padi. Konsepnya sih jadi kaya buffet gitu ya ngambil sendiri makanannya dan langsung bayar di cashier.Aku pesan beberapa menu :Tuna Dabu -> rasa dari ikannya enak gak hambar, dan sambal dabunya oke sih walau masih agak keluar dari jenis dabu otentik.Rendang Daging -> ini enakk sih guyss, jenis rendang khas sunda gitu yang dimasak kering dengan bumbu yang gurih.Capcay -> sukaa deh, isiannya ada dari bunga brokoli, wortel, sampai irisan baso ikan nya yang nambah citarasa.Orek Tempe -> rasa tempe orek pada umumnya aja sih, tekstur tempe dan bumbu nya oke.Kentang Sambal -> rasa kentang sambal pada umumnya, tekstur kentang dan bumbu nya oke.Es Kopi Susu -> overall rasanya oke aja sih, hint kopi kerasa dengan campuran susu.Pelayanan Baik & Ambience nya lumayan sih buat sekedar makan","Tuna Dabu, rendang daging, Capcay, Orek Tempe, kentang sambal"," < Rp. 50.000



Makasih Infonya!

Kamu belum login,",Buah Batu,Indonesia,3.8
simon71,Kopi Mandja,"Ngopi Kopi Mandja lagi nih guys, dan aku request no sugar karena memang untuk varian kopi mandja udah ada sweet tersendiri oleh rackian merekanya. Overall rasa espresso masih ada dengan campuran latte yang unik, namun tetap cukup manis aftertaste nya sih. Overall masih oke buat yang pengen ngopi tapi gak mau terlalu dominan di rasa manisnya.",Kopi Mandja No Sugar," < Rp. 50.000



Makasih Infonya!

Kamu belum login,",Progo,Kafe,3.8
simon71,Kanalima Coffee,"Mampir ke Kanalima Coffee karena direkomendasikan teman nih guyss, tempatnya cukup hidden gem ya karena agak masuk jalan kecil gitu dan cukup homey ambience nya sih.Yang aku pesan :- Hot Cappuccino (Kanalima) -> asli kapan lagi nemu hot coffee dengan ukuran cangkir jumbo tapi hint espresso nya tetep kerasaa dan gak ketutupan latte dan foamnya kalo bukan disini guyss, suka deh pokoknya dan worth it juga.- Bakmie Ayam Kampung (Bagimie) -> untuk rasa bakmie nya juga enak asli gurih gitu bumbunya dan sambel khas tomat ceri + irisan cabai orange nya melengkapi banget. Ayam kampungnya fresh dan banyak serta kuahnya ngaldu unik juga.Pelayanan Barista & Kitchen Staff nya baik + ramah semua dan untuk Ambiencenya feel like home sih.","Hot Cappuccino, Bakmie Ayam Kampung"," < Rp. 50.000



Makasih Infonya!

Kamu belum login,",Buah Batu,Kafe,4.0
