user,restoran,text,pesanan,harga,lokasi,kategori,rating
whidiea_wede,Dough Deli,"Pertama kali mampir ke Dough Deli. Tempatnya minimalis dan bersih. Cocok untuk ngemil sambil ngelaptop.Yang aku cobain:Dough deli chocochip cookieUkurannya ga terlalu besar, teksturenya lembut dan manisnya pasRed velvet cookiesGa giung, teksture nya crunchyClassic tiramisuPecahh sih ini, lembut banget, kirain bakal manis, ternyata pas banget. EnakkSlassic sconesPotongan buahnya seger, Dough deli signature ice coffeeKopinya ga terlalu strong, diatasnya ada popcorn Doughnut creme brulle, strawberry shortcake,butterscotch popcorn, biscof cheeseSemua donatnya enak2, tekstureny lembut, cocok buat hantaran ke teman2 krn seenak itu",Jamocca Almond," < Rp. 50.000


",Riau,Donat,4.0
whidiea_wede,Sinamon,"Udah lama nunggu untuk buka di Bandung, akhirnya buka juga. Ga perlu jauh2 lagi keluar kota untuk ngemil Sinamon ini. Tempat duduknya ada yg indoor ber ac, dan semi outdoor pake fan..Aku cobain yg original Ukurannya lumayan gede, kirain bakal keras, ternyata teksture nya lembut banget. Aroma cinnamonnya menggodaAku juga cobain berry loveAda potongan strawberry kecil di atasnya. Seger dan manisnya pas",Jamocca Almond," < Rp. 50.000



Makasih Infonya!

Kamu belum login,",Riau,Kafe,4.0
whidiea_wede,Jongko 67,"Ini si definisi 1 tempat tapi banyak pilihan makanan. Buat yg suka ramen ada, steak ada, kue balok apalagi. Tapi kali ini ak pesen kue balok setengah matang. Rasa red velvet, coklat, keju. Adonannya lembut. Manisnya pas.Aku juga cobain nasi goreng, bala2 dan mie gorengnya. Harga murah rasanya juga enakCocok buat kalian yg mau kumpul sama tmn2 di sore hari",Jamocca Almond," < Rp. 50.000


",Moch Toha,Indonesia,4.0
whidiea_wede,Norge,"Suka ice cream disini karna rasanya ga monoton, banyak pilihan dan smuanya enak2. Aku cobain Cherry custard dan pistacio masearpone. Teksture ice creamnya lembut, unk cherry custard rasanya nano nano, manis asemnya dapat, dan masih berasa potongan cerrynya dikit. Untuk pistacionya enak, manisnya pas",Jamocca Almond," < Rp. 50.000


",Banda,Es Krim,4.0
whidiea_wede,Jenderal Kopi Nusantara Buwas,"Oktober bulannya Hallowen. Dan di Jenderal ada menu spesial tsb. Adapun menu2 special yang hanya ada di tanggal Hallowen adalah :Grilled beef ribsBeefnya cukup empuk dengan adanya sisi bagian lemaknya..Bumbunya meresap. Mash potatonya yummyPasta HallowenBau seafood nya ketara banget. Isiannya lengkap ada kerang, udang, salmon, dan sayuran spt paprika dan tomat. Bumbunya kaya rasa. Enakk banget dan ga terlalu berminyakFried Charcoal chickenLooks nya sih gede2 item gitu, tapi pas dimakan teksture ayamnya ga keras, enak apalagi ditambah saos keju dan barbequeChicken quesadillasBentukannya hallowen banget. Dengan hiasan acar tomat. Diatas chicken nya ada keju yang rasanya enak dipaduin dengan isian ayamnyaHallowen cakeTeksture cakenya ga terlalu kasar. Terbuat dari pumpkin dengan sentuhan coklat juga. Enakk Red devilPenampilan minumannya cantik berwarna merah. ada aroma bunga dengan rasa yang seger.",Jamocca Almond," < Rp. 50.000


",Riau,Kafe,4.0
whidiea_wede,Babat Goreng Nikmat Berkah,"Pecinta babat dan jeroan wajib coba. Walaupun tempatnya kecil tapi selalu rame. Aku pesen nasi babat, nasi paru, oseng kangkung, pete dan terongAsli sih enak semua. Babatnya potongannya gede dan ga amis dan ga alot. Kalo parunya lembut banget. Untuk pete dan terongnya enak di cocol sambel. Tambah gurih dan mantap pake oseng kangkungnya.Se porsi udah termasuk lalapan dan sambel.Worth it banget, dan bakal kesini lagi",Jamocca Almond," < Rp. 50.000


",Dago Atas,Indonesia,4.2
whidiea_wede,Tomoro Coffee,Ga nyangka Tomoro buka di pusat perkantoran Asia Afrika. Lokasinya menyatu dengan gedung apartemen gitu. Jujur sih tempatnya pewe abis dan cocok buat WfcAku cobain latte ice dan matcha nya ( foto matchanya lupa di foto) Untuk lattenya agak sedikit strong menurutku. Untuk matcha ice nya enakk,Jamocca Almond," < Rp. 50.000


",Asia Afrika,Kafe,4.0
whidiea_wede,Urbane Cafe,"Baru lagi nih gais dan masih promo bayar suka2 dari jam 07.30-09.00Tempat indoornya asik buat ngelaptop. Untuk area outdoornya ga kalah seru. Banyak pohon pinus yang bikin adem.Aku pesen es kopi susunya. Creamy dan ga terlalu strong. Karna masih baru, jadi pilihan makanan beratnya belum tersedia(soon)",Jamocca Almond," < Rp. 50.000


",Cigadung,Kafe,4.0
whidiea_wede,Rumah Kopi Rawdee,"Sering ke daerah Padasuka, tapi baru tau ada coffee shop sekece ini. Tempatnya 2 lantai dengan spot yang beda2. Klo weekend ada live musiknya. Di lantai 2 kalo beruntung di sore hari bisa liat sunset dan view kota Bandung. Mereka punya perkebunan kopi sendiri di Rawa Gede Bogor. Bener2 penasaran dengan beansnya..Aku cobain beberapa menu disini:**Kopi susu rumahan Creamy, manisnya pas dan ga terlalu strong**Matcha LatteBuat yang suka manis, cocok nih. Sukaa, ga terlalu pait**Kopi dari nenekStrong banget rasa kayu manis dan jahenya. Jadi agak kalah rasa si kopinya menurutku..Better kopinya agak ditambahin biar balance**Beef yoshiRice bown dengan beef slice yang manis. Nasinya pulen..Cukup oke**Chicken katsuKatsunya ga keras, porsinya pas",Jamocca Almond," < Rp. 50.000



Makasih Infonya!

Kamu belum login,",Padasuka,Kafe,4.0
whidiea_wede,Asano Coffee and Friends,"Mini bar coffee shop di seputaran Laswi. Tempatnya mini tapi cozy. Ada beberapa buku yang ada di rak untuk bisa di baca. Sesekali bisa bercengkrama dengan baristanya mengenai kopi yang ada disini. Aku cobain : Es kopi susu rendah kalori Ini menu baru disini. Belum launching sih, jadi seru aja bisa mencicipi duluan. Pilihannya susunya ada oat, almond atau soya. Cocok yang buat diet. Kopinya juga ga terlalu strongIce peppermint tea17KSeger, dan manisnya dari madu. Jadi masih amanSakura lemonade18KSeger dan lemonnya juga ga sepet. Harganya juga terjangkau",Jamocca Almond," < Rp. 50.000



Makasih Infonya!

Kamu belum login,",Laswi,Kafe,4.0
